ticker,htm_url,year_published
AAPL,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,2020
AAPL,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,2019
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,2018
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,2017
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,2016
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,2015
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,2014
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm,2013
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm,2012
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm,2011
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/d10k.htm,2010
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/d10k.htm,2009
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/d10k.htm,2008
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/a2181030z10-k.htm,2007
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm,2006
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,2005
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,2004
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm,2003
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/a2096490z10-k.htm,2002
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/a2032880z10-k.txt,2000
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000091205799010244/,1999
AAPL,https://www.sec.gov/Archives/edgar/data/320193/,1997
AAPL,https://www.sec.gov/Archives/edgar/data/320193/,1996
AAPL,https://www.sec.gov/Archives/edgar/data/320193/,1995
AAPL,https://www.sec.gov/Archives/edgar/data/320193/,1994
MSFT,https://www.sec.gov/ix?doc=/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,2020
